Date,open,high,low,close
05/04 13:08,41.889999,42.57,41.790001,42.459999
05/04 13:09,42.400002,42.48,42.189999,42.439999
05/04 13:10,42.490002,42.5,42.130001,42.18
05/04 13:11,41.349998,41.450001,40.720001,41.299999
05/04 13:12,41.220001,41.400002,40.950001,41.029999
05/04 13:13,41.040001,41.299999,40.759998,41.189999
05/04 13:14,42.009998,42.349998,41.810001,42.23
05/04 13:15,42.66,43.27,42.5,43.130001
05/04 13:16,43.860001,44.849998,43.5,44.57
05/04 13:17,45.07,45.540001,44.580002,44.669998
05/04 13:18,46,46.400002,45.939999,46.380001
05/04 13:19,46.48,46.57,46.060001,46.279999
05/04 13:20,45.639999,45.669998,45.25,45.330002
05/04 13:21,45.709999,45.779999,45.040001,45.099998
05/04 13:22,45.5,45.740002,45.029999,45.720001
05/04 13:23,45.470001,45.689999,45.200001,45.400002
05/04 13:24,44.57,45.029999,44.400002,44.880001
05/04 13:25,45.43,45.799999,45.119999,45.310001
05/04 13:26,45.330002,45.93,45.299999,45.450001
05/04 13:27,45.009998,45.32,44.450001,44.509998
05/04 13:28,44.049999,44.810001,42.810001,42.950001
05/04 13:29,42.27,43.700001,42.099998,43.59
05/04 13:30,42.990002,42.990002,41.880001,41.880001
05/04 13:31,42.110001,42.119999,40.360001,40.360001
05/04 13:32,40.740002,41.68,39.959999,41.470001
05/04 13:33,42.029999,42.790001,41.959999,42.529999
05/04 13:34,42.540001,42.66,41.880001,42.380001
05/04 13:35,42.169998,43.09,41.919998,43.049999
05/04 13:36,43.52,43.75,42.75,43.52
05/04 13:37,43.349998,43.959999,43.310001,43.48
05/04 13:38,43.080002,44.16,43,43.740002
05/04 13:39,43.66,43.82,42.869999,42.889999
05/04 13:40,42.669998,42.740002,42.18,42.389999
05/04 13:41,43.389999,43.900002,43.110001,43.900002
05/04 13:42,44.110001,44.41,43.799999,44.41
05/04 13:43,44.049999,44.299999,43.610001,43.619999
05/04 13:44,43.669998,43.91,43.290001,43.349998
05/04 13:45,43.349998,43.560001,42.310001,42.720001
05/04 13:46,42.389999,43.049999,42.150002,43.009998
05/04 13:47,43.049999,43.759998,42.869999,43.490002
05/04 13:48,44.34,44.400002,43.43,43.540001
05/04 13:49,43.310001,44.279999,43.18,44.200001
05/04 13:50,44.299999,44.389999,43.59,43.799999
05/04 13:51,44.049999,44.599998,43.52,44.59
05/04 13:52,44.790001,45.349998,44.75,45.220001
05/04 13:53,45.5,45.75,44.91,44.990002
05/04 13:54,45.43,45.450001,44.830002,45.150002
05/04 13:55,45.099998,45.650002,44.889999,45.310001
05/04 13:56,45,45.52,44.93,44.970001
05/04 13:57,44.720001,44.869999,44.189999,44.599998
05/04 13:58,44.700001,44.91,44.52,44.830002
05/04 13:59,44.57,44.849998,44.25,44.700001
05/04 14:00,44.099998,44.369999,43.689999,43.689999
05/04 14:01,43.630001,43.700001,42.580002,42.580002
05/04 14:02,43.810001,44.279999,43.18,44.27
05/04 14:03,44.720001,44.84,43.130001,43.290001
05/04 14:04,42.98,43.169998,42.439999,42.689999
05/04 14:05,43,43.919998,42.959999,43.759998
05/04 14:06,43.34,43.59,42.419998,42.5
05/04 14:07,44.27,44.279999,43.029999,43.48
05/04 14:08,42.369999,43.939999,42.349998,43.939999
05/04 14:09,44.029999,44.23,43.139999,43.32
05/04 14:10,42.880001,43.169998,42.259998,42.419998
05/04 14:11,43.09,44.040001,42.91,43.07
05/04 14:12,43.869999,44.220001,43.029999,43.580002
05/04 14:13,43.25,43.790001,43.25,43.380001
05/04 14:14,43.330002,43.849998,43.049999,43.849998
05/04 14:15,43.689999,43.740002,42.560001,42.650002
05/04 14:16,42.810001,43.009998,42.68,42.869999
05/04 14:17,42.09,42.360001,41.77,42.310001
05/04 14:18,42.099998,42.259998,41.209999,41.919998
05/04 14:19,39.93,40.080002,39.110001,39.529999
05/04 14:20,39.369999,39.540001,38.82,38.950001
05/04 14:21,38.959999,39.080002,38.529999,38.75
05/04 14:22,39.040001,39.209999,38.299999,38.75
05/04 14:23,38.360001,38.490002,38.02,38.169998
05/04 14:24,38.080002,38.560001,38.080002,38.169998
05/04 14:25,38.740002,38.740002,37.990002,38.169998
05/04 14:26,38.689999,38.84,38.380001,38.450001
05/04 14:27,38.34,38.939999,38.259998,38.93
05/04 14:28,38.599998,38.599998,37.650002,37.75
05/04 14:29,37.549999,38.189999,37.299999,38.099998
05/04 14:30,38,38.66,37.939999,38.59
05/04 14:31,38.450001,38.650002,38.240002,38.450001
05/04 14:32,38.98,39.380001,38.939999,39.18
05/04 14:33,39.369999,39.459999,39.16,39.349998
05/04 14:34,39.57,39.869999,39.439999,39.77
05/04 14:35,40.040001,40.18,39.639999,39.91
05/04 14:36,40.130001,40.549999,39.880001,39.950001
05/04 14:37,39.360001,39.400002,38.959999,39.299999
05/04 14:38,39.400002,39.830002,39.279999,39.790001
05/04 14:39,39.07,39.240002,38.669998,38.959999
05/04 14:40,38.470001,38.549999,38.279999,38.419998
05/04 14:41,39.34,39.700001,39.119999,39.470001
05/04 14:42,39.470001,39.790001,39.450001,39.639999
05/04 14:43,39.139999,39.650002,39.09,39.650002
05/04 14:44,39.369999,39.450001,38.779999,39.27
05/04 14:45,39.099998,39.490002,38.93,39.299999
05/04 14:46,38.490002,38.560001,38.029999,38.16
05/04 14:47,38.299999,38.400002,38.07,38.34
05/04 14:48,38.330002,38.860001,38.290001,38.700001
05/04 14:49,38.990002,39.200001,38.799999,39.200001
05/04 14:50,39.849998,40,39.669998,39.970001
05/04 14:51,39.700001,39.860001,39.400002,39.540001
05/04 14:52,39.849998,39.93,39.560001,39.560001
05/04 14:53,39.560001,39.939999,39.459999,39.52
05/04 14:54,39.16,39.16,38.52,38.93
05/04 14:55,39,39.150002,38.759998,38.759998
05/04 14:56,39.130001,39.360001,38.98,39.200001
05/04 14:57,39.73,39.889999,39.049999,39.049999
05/04 14:58,39.029999,39.07,38.599998,38.599998
05/04 14:59,38.82,38.939999,38.549999,38.689999
05/04 15:00,38.310001,38.360001,37.84,38.25
05/04 15:01,37.700001,37.970001,37.349998,37.560001
05/04 15:02,38.34,38.59,38.009998,38.349998
05/04 15:03,37.869999,38.009998,37.549999,37.619999
